Domain,Domain,Page,Count
ab.m,ab.m,Акатегориа:Нанҳәамза_30,1
ab.m,ab.m,Акатегориа:Авикипедиа:Ихадоу_адаҟьа,1
ab.m,ab.m,Акатегориа:3_шықәса,1
ab.m,ab.m,Урыстәыла,1
ace,ace,Anastacia,140
ace,ace,Ôn_Keue,118
ace,ace,Funafuti,111
ace,ace,Porto_Alegre,59
ace,ace,"Jangka,_Bireuen",41
ace,ace,Ayeuen,17
ace,ace,Ôn_Keuë,14
ace,ace,Amirika_Syarikat,7
ace,ace,Nauru,6
ace,ace,Beunantu:Asoë,5
ace,ace,Kawan:Teunuléh_nyang_peureulèe_geutuléh_keulayi,5
ace,ace,Sira,5
ace,ace,Ceunicah,5
ace,ace,Dublin,5
ace,ace,Kawan:Ban_dum_teunuléh_bhah_ureueng_udép_hana_nè,5
ace,ace,Kawan:Teunuléh_bhah_ureueng_udép_hana_nè,5
ace,ace,Michael_Jackson,5
ace,ace,Yaren,4
ace,ace,Kawan:Nauru,3
ace,ace,Kawan:Ureuëng_meulagu_inong,3
ace,ace,Ayeuën,2
ace,ace,Bali,2
ace,ace,Geografi,2
ace,ace,Indônèsia,2
ace,ace,Oblast_Murmansk,2
ace.m,ace.m,Ôn_Keue,5
ace.m,ace.m,Ôn_Keuë,4
ace.m,ace.m,Hikayat_Prang_Sabi,4
ace.m,ace.m,-,3
ace.m,ace.m,"Jangka,_Bireuen",3
ace.m,ace.m,Muang_Thai,3
ace.m,ace.m,Anastacia,3
ace.m,ace.m,Ayeuen,2
ace.m,ace.m,Bahsa_Acèh,2
ace.m,ace.m,Rafly,2
ace.m,ace.m,Rusia,2
ace.m,ace.m,Wikipèdia,2
ace.m,ace.m,Basa_Acèh,2
ace.m,ace.m,Facebook,2
ace.m,ace.m,Funafuti,2
ace.m,ace.m,Joe_Biden,2
ace.m,ace.m,Kitab-kitab_Allah,2
ace.m,ace.m,Kusuih:Mita,2
ace.m,ace.m,Porto_Alegre,2
ace.m,ace.m,Salahuddin_al-Ayyubi,2
ace.m,ace.m,Yaren,2
ace.m,ace.m,Afrika_Barôh,1
ace.m,ace.m,Bandar_Lampung,1
ace.m,ace.m,Cicém,1
ace.m,ace.m,"Dayah_Darussalam,_Labuhan_Haji",1
advisory.m,advisory.m,Main_Page,63
advisory.m.m,advisory.m.m,Main_Page,1
ady,ady,НэкӀубгъо_шъхьаӀ,15
ady,ady,User:45.154.255.44,6
ady,ady,User:188.163.109.153,5
ady,ady,Дублин,5
ady,ady,Special:MyTalk,3
ady,ady,Америкэ_Штат_Зэхэтхэр,3
ady,ady,Википедие:Форум,2
ady,ady,Википедия:Избранные_статьи,2
ady,ady,Индонезие,2
ady,ady,Непэ,2
ady,ady,Париж,2
ady,ady,Урымые,2
ady,ady,Википедие:Лъэпкъэгъу_ӀухьапӀ,2
ady,ady,Нигерие,2
ady,ady,Template:·,1
ady,ady,User:TonyBallioni,1
ady,ady,Анкара,1
ady,ady,Боливие,1
ady,ady,Буркина-Фасо,1
ady,ady,Венэ,1
ady,ady,Джурт,1
ady,ady,Киото,1
ady,ady,Лондон,1
ady,ady,Москва,1
ady,ady,Сомали,1
ady.m,ady.m,НэкӀубгъо_шъхьаӀ,2
ady.m,ady.m,Template:·,1
ady.m,ady.m,Википедие:Форум,1
ady.m,ady.m,Кыргызстан,1
ady.m,ady.m,Кот-д-Ивуар,1
ady.m,ady.m,Шапсыгъэхэр,1
af,af,Tuisblad,142
af,af,Google,20
af,af,Leksikografie,9
af,af,ISO_8601,8
af,af,China,7
af,af,ISO_3166,6
af,af,ISO_3166-1,6
af,af,Ceres,5
af,af,ISO_4217,5
af,af,Kunstenaar,5
af,af,Rolprent,5
af,af,Vereeniging,5
af,af,Wallabies,5
af,af,Wikipedia:Hulp,5
af,af,Dublin,5
af,af,-,4
af,af,Bespreking:Tuisblad,4
af,af,Ensiem,4
af,af,Gadolinium,4
af,af,HAT,4
af,af,Japan,4
af,af,Natuurliketaalverwerking,4
af,af,Resistor,4
af,af,Skubdier,4
af,af,Spesiaal:Mybespreking,4
af.b,af.b,Tuisblad,6
af.b,af.b,Boekrak:Aardrykskunde,1
af.d,af.d,Tuisblad,5
af.d,af.d,Bespreking:Tuisblad,1
af.d,af.d,China,1
af.d,af.d,Engels,1
af.d,af.d,Kategorie:Bladsye_met_dubbele_sjabloonparameters,1
af.d,af.d,Kategorie:Versteekte_kategorieë,1
af.d,af.d,Sjina,1
af.d,af.d,Sondag,1
af.d,af.d,Wiktionary:Afrikaanse_woorde/pa,1
af.d,af.d,behoort,1
af.d,af.d,draak,1
af.d,af.d,honde,1
af.d,af.d,kobalt,1
af.d,af.d,lykbusse,1
af.d,af.d,neef,1
af.d,af.d,ouer,1
af.d,af.d,vertaling,1
af.d,af.d,water,1
af.d,af.d,Cantonese,1
af.d,af.d,Shona,1
af.d,af.d,UTC,1
af.d,af.d,Wikiwoordeboek,1
af.d,af.d,"Wiktionary:Welkom,_nuwelinge",1
af.d,af.d,Wiktionary:Woordelys/f,1
af.d,af.d,Zimbabwe,1
af.m,af.m,Tuisblad,133
af.m,af.m,Spesiaal:Soek,25
af.m,af.m,-,22
af.m,af.m,Kaapstad,16
af.m,af.m,Suid-Afrika,16
af.m,af.m,Geld,14
af.m,af.m,Jack_(Kaapse_bobbejaan),13
af.m,af.m,Anale_seks,11
af.m,af.m,Roger_Federer,10
af.m,af.m,Unie_van_Suid-Afrika,10
af.m,af.m,Koronavirusepidemie_van_2020,9
af.m,af.m,"Springbok,_Noord-Kaap",9
af.m,af.m,Muishond,9
af.m,af.m,Afrikaans,8
af.m,af.m,Ekonomie_van_Suid-Afrika,8
af.m,af.m,Gebande_muishond,8
af.m,af.m,Beer_Adriaanse,7
af.m,af.m,Wikipedia:Omtrent,7
af.m,af.m,Afrikaanse_taalleer,6
af.m,af.m,Amazon.com,6
af.m,af.m,Eskom,6
af.m,af.m,Vrat,6
af.m,af.m,MIV,6
af.m,af.m,Ontdekkingsreise,6
af.m,af.m,Wetenskaplike_klassifikasie,6
af.m.b,af.m.b,Hoërskool_Natuur-_en_Skeikunde/Deel_3-1:_Meganika,1
af.m.b,af.m.b,Hoërskool_Natuur-_en_Skeikunde/Deel_3-4:_Materie_en_Materiale,1
af.m.b,af.m.b,Tuisblad,1
af.m.d,af.m.d,Kategorie:Woorde_in_Afrikaans,36
af.m.d,af.m.d,sinoniem,7
af.m.d,af.m.d,vertaal,7
af.m.d,af.m.d,Kategorie:Idiome_in_Afrikaans,6
af.m.d,af.m.d,Spesiaal:Soek,5
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/be,5
af.m.d,af.m.d,Kategorie:Afkortings_in_Afrikaans,4
af.m.d,af.m.d,-,3
af.m.d,af.m.d,Kategorie:Byvoeglike_naamwoorde_in_Afrikaans,3
af.m.d,af.m.d,Tuisblad,3
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/ge,3
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/ko,3
af.m.d,af.m.d,vyeboom,3
af.m.d,af.m.d,woordeboek,3
af.m.d,af.m.d,Afrikaans,2
af.m.d,af.m.d,Kersfees,2
af.m.d,af.m.d,Noord-Kaap,2
af.m.d,af.m.d,SAL,2
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/ve,2
af.m.d,af.m.d,Wiktionary:Tweetalige_woordelyste/Afrikaans_-_Engels,2
af.m.d,af.m.d,befok,2
af.m.d,af.m.d,betekenis,2
af.m.d,af.m.d,meervoud,2
af.m.d,af.m.d,nuus,2
af.m.d,af.m.d,Gan,2
af.m.q,af.m.q,Tuisblad,4
af.q,af.q,Tuisblad,4
af.q,af.q,Sjabloon:Cite_web,2
af.q,af.q,Bespreking:Tuisblad,1
af.q,af.q,Gebruiker:SterkeBak,1
af.q,af.q,Kategorie:Bladsye_met_gebreekte_lêer_skakels,1
ak,ak,Krataafa_Titiriw,32
ak,ak,Boa:Contents,5
ak,ak,United_States,3
ak,ak,Busua,2
ak,ak,Nkyekyem:Historian,2
ak,ak,Paris,2
ak,ak,Alata_man,2
ak,ak,Japan,2
ak,ak,Bà_Rịa,1
ak,ak,English,1
ak,ak,Indonesia,1
ak,ak,London,1
ak,ak,Mfonii,1
ak,ak,Moscow,1
ak,ak,Nkyekyem:User_kn,1
ak,ak,Nkyekyem:User_pa,1
ak,ak,Odwumanyɛni:TonyBallioni,1
ak,ak,Odwumanyɛni:Tulsibot,1
ak,ak,Sukuuni/Adesuafo,1
ak,ak,Vienna,1
ak,ak,Wikipedia:Sandbox,1
ak,ak,Abakɔsɛm,1
ak,ak,Aban,1
ak,ak,Afidie,1
ak,ak,Akan,1
ak.m,ak.m,Flora_Nwapa,2
ak.m,ak.m,Intanɛt,1
ak.m,ak.m,Iraq,1
ak.m,ak.m,Accra,1
ak.m,ak.m,Afahyɛ,1
ak.m,ak.m,Facebook,1
ak.m,ak.m,Ohyinia,1
ak.m,ak.m,Se_eka_ani_a_na_aka_hwene,1
als,als,Englische_Sprache,162
als,als,Wikipedia:Houptsyte,142
als,als,Vorlage:Artikel_Jahr,31
als,als,2020,16
als,als,Wikipedia:Impressum,15
als,als,Spezial:Letschti_Änderige,14
als,als,2010,10
als,als,Datei:Flag_of_South_Africa.svg,10
als,als,ISO_3166,8
als,als,ISO-3166-1-Kodierliste,7
als,als,10er,6
als,als,Buech:Houptsyte,6
als,als,Wikipedia:Namenskonventionen,6
als,als,Nigeria,6
als,als,Wort:Houptsyte,6
als,als,Grammatik,5
als,als,Kanada,5
als,als,New_York_City,5
als,als,Philippinen,5
als,als,Phonologie_der_englischen_Sprache,5
als,als,Russische_Sprache,5
als,als,Sambia,5
als,als,Thomas_Kemmerich,5
als,als,USA,5
als,als,Wikinger,5
als.m,als.m,Wikipedia:Houptsyte,22
als.m,als.m,Englische_Sprache,4
als.m,als.m,Simbabwe,4
als.m,als.m,Pocken,3
als.m,als.m,Geschlechtsverkehr,3
als.m,als.m,Mikrobiologie,3
als.m,als.m,Portal:Alemanne,3
als.m,als.m,Portal:Bade-Wirttebärg,3
als.m,als.m,Portal:Schwiiz,3
als.m,als.m,Biologisches_Geschlecht,2
als.m,als.m,Google,2
als.m,als.m,Greta_Thunberg,2
als.m,als.m,Internet,2
als.m,als.m,Menschenrechte,2
als.m,als.m,Schottland,2
als.m,als.m,Wikipedia:Iber_Wikipedia,2
als.m,als.m,Chordatiere,2
als.m,als.m,Hörfunk,2
als.m,als.m,Kindheit,2
als.m,als.m,Luxemburgische_Sprache,2
als.m,als.m,Schwangerschaft,2
als.m,als.m,Skifahren,2
als.m,als.m,Spezial:Suech,2
als.m,als.m,Technologie,2
als.m,als.m,Vereinigtes_Königreich,2
am,am,ዋናው_ገጽ,122
am,am,ጉግል,20
am,am,ራዲዮ,8
am,am,እርዳታ:ይዞታ,5
am,am,ደብሊን,5
am,am,ፊልም,5
am,am,ልዩ:RecentChanges,4
am,am,ቶማስ_ኤዲሶን,3
am,am,አማርኛ,3
am,am,ራዲዮ_ሞገድ,3
am,am,ብርሃን,3
am,am,ኤሌክትሮመግነጢስ_ጨረራ,3
am,am,ክሪስታል_ራዲዮ,3
am,am,30_October,2
am,am,ሙዚቃ,2
am,am,ሥነ_ሕይወት,2
am,am,ሰርጌይ_ብሪን,2
am,am,ሰዋስው,2
am,am,ዌብሳይት,2
am,am,ውክፔዲያ:ወቅታዊ_ጉዳዮች,2
am,am,ዓለም-አቀፍ_መደበኛ_የመጽሐፍ_ቁጥር,2
am,am,ፓሪስ,2
am,am,ፖለቲካ,2
am,am,ህንድ,2
am,am,ቤተሠብ,2
am.d,am.d,ዋና_ገጽ,5
am.d,am.d,Comp_Glossary_PQ,1
am.d,am.d,water,1
am.d,am.d,ልዩ:MyTalk,1
am.d,am.d,መደብ:የተደበቁ_መደቦች,1
am.m,am.m,ዋናው_ገጽ,9
am.m,am.m,ግብረ_ስጋ_ግንኙነት,9
am.m,am.m,ዳጉሳ,8
am.m,am.m,እምስ,7
am.m,am.m,ዓፄ_ቴዎድሮስ,6
am.m,am.m,ዳግማዊ_ምኒልክ,6
am.m,am.m,Վիքիմեդիա_Հայաստան,5
am.m,am.m,ኤሌክትሪክ_ምድጃ_፡_እራስህ_ስራ,5
am.m,am.m,እያሱ_፭ኛ,5
am.m,am.m,ንግሥት_ዘውዲቱ,4
am.m,am.m,የሉቃስ_ወንጌል,4
am.m,am.m,የሠገራ_ትቦ_ንጣፍ_መድማት_ወይመ_መቁስል_(ሄሞሮይድ),4
am.m,am.m,የአድዋ_ጦርነት,4
am.m,am.m,የኩላሊት_ጠጠር,4
am.m,am.m,ጉራጌ,4
am.m,am.m,ግራኝ_አህመድ,4
am.m,am.m,ፍልስፍና,4
am.m,am.m,ራዲዮ,4
am.m,am.m,ዣርት,4
am.m,am.m,ሎዥባን,3
am.m,am.m,ሰኔ_፲፩,3
am.m,am.m,ስልጤ,3
am.m,am.m,ስነ_አምክንዮ,3
am.m,am.m,ሸዋ,3
am.m,am.m,ተረት_ጠ,3
am.m.d,am.m.d,Comp_Glossary_TU,2
am.m.d,am.m.d,ዋና_ገጽ,2
am.m.d,am.m.d,abbot,1
am.m.q,am.m.q,ዋና_ገጽ,1
am.q,am.q,ዋና_ገጽ,12
am.q,am.q,ልዩ:UserLogin,2
am.q,am.q,ልዩ:CreateAccount,1
am.q,am.q,Wikiquote:የኅብረተሠብ_መረዳጃ,1
am.q,am.q,ልዩ:Book,1
am.q,am.q,ልዩ:CiteThisPage,1
am.q,am.q,ልዩ:ElectronPdf,1
am.q,am.q,ልዩ:SpecialPages,1
am.q,am.q,ልዩ:WhatLinksHere/ዋና_ገጽ,1
am.q,am.q,ተረትና_ምሰሌ,1
am.q,am.q,ውይይት:ዋና_ገጽ,1
am.q,am.q,የታዋቂ_ሰዎች_ጥቅሶች,1
am.q,am.q,የኣማርኛ_እስፔሊንግ_በእንግሊዝኛ,1
an,an,Portalada,125
an,an,Radio_(medio_de_comunicación),9
an,an,Benezuela,5
an,an,Wikipedia:Aduya,5
an,an,Cinta,5
an,an,Dublín,5
an,an,Freqüencia,4
an,an,Resistor,4
an,an,Sonito,4
an,an,Enzima,4
an,an,Imachen_por_resonancia_magnetica,4
an,an,Luz,4
an,an,Animación,3
an,an,Especial:Zaguers_cambeos,3
an,an,Estrela,3
an,an,Wikipedia:Actualidat,3
an,an,Wikipedia:Sobre,3
an,an,Wikipedia:Tabierna,3
an,an,Información,3
an,an,Radiación_electromagnetica,3
an,an,Vueito_(fisica),3
an,an,10_d'agosto,2
an,an,1989,2
an,an,Categoría:Historia,2
an,an,Descusión:Portalada,2
an.d,an.d,Portalada,4
an.d,an.d,Categoría:Páginas_que_usan_argumentos_duplicados_en_invocaciones_de_plantillas,1
an.d,an.d,hacer,1
an.d,an.d,sentir,1
an.d,an.d,water,1
an.d,an.d,z,1
an.d,an.d,Biquizionario,1
an.d,an.d,inglés,1
an.m,an.m,Portalada,9
an.m,an.m,Atena,5
an.m,an.m,Aśoka,5
an.m,an.m,Especial:Mirar,4
an.m,an.m,Descusión:Alfabeto_cirilico,4
an.m,an.m,Radio_(medio_de_comunicación),4
an.m,an.m,Lista_de_municipios_de_Malaga,3
an.m,an.m,P._T._Barnum,3
an.m,an.m,Peirons_d'Aśoka,3
an.m,an.m,Peirón,3
an.m,an.m,Lista_de_municipios_de_Granada,3
an.m,an.m,Corazón,2
an.m,an.m,Erial,2
an.m,an.m,Imachen:Continentes.png,2
an.m,an.m,Jawaharlal_Nehru,2
an.m,an.m,Lista_de_municipios_de_Navarra,2
an.m,an.m,Picueta,2
an.m,an.m,Pollet,2
an.m,an.m,Río_Nicher,2
an.m,an.m,Río_Uecha,2
an.m,an.m,Sciencias_d'a_Tierra,2
an.m,an.m,Tren,2
an.m,an.m,Amplitut,2
an.m,an.m,Aragonés_benasqués,2
an.m,an.m,Categoría:Musicos_por_instrumento,2
an.m.d,an.m.d,cóm,4
an.m.d,an.m.d,plebita,3
an.m.d,an.m.d,Imachen:Heavy_Rain.jpg,2
an.m.d,an.m.d,plebia,2
an.m.d,an.m.d,ribagorzano,2
an.m.d,an.m.d,Aragonés-Alemán_ñ,1
ang,ang,Hēafodtramet,31
ang,ang,Google,20
ang,ang,Help:Innoþ,6
ang,ang,Mortal_Engines,6
ang,ang,Wikipǣdia:How_to_edit_a_page,5
ang,ang,Difelin,5
ang,ang,Ūtweorp,5
ang,ang,-,3
ang,ang,Indea,3
ang,ang,Android,2
ang,ang,Iapan,2
ang,ang,Lunden,2
ang,ang,Michael_Jackson,2
ang,ang,Nīwenglisc_sprǣc,2
ang,ang,Paris,2
ang,ang,Scrobbesburh,2
ang,ang,Webbsīde,2
ang,ang,Wikipǣdia:Bewitendas,2
ang,ang,Geānedu_Rīcu_American,2
ang,ang,Wikipǣdia:Gemǣnscipes_Ingang,2
ang,ang,7._Æfterran_Gēolan,1
ang,ang,Alaska,1
ang,ang,Arizona,1
ang,ang,Beicing,1
ang,ang,Brūcend:TonyBallioni,1
ang.b,ang.b,Hēafodsīde,3
ang.b,ang.b,Syndrig:UserLogin,2
ang.d,ang.d,Hēafodtramet,4
ang.d,ang.d,Flocc:Pages_using_duplicate_arguments_in_template_calls,1
ang.d,ang.d,water,1
ang.d,ang.d,Film,1
ang.d,ang.d,brown,1
ang.m,ang.m,Hēafodtramet,17
ang.m,ang.m,Wikipǣdia:How_to_edit_a_page,7
ang.m,ang.m,Ūtweorp,4
ang.m,ang.m,Syndrig:Search,2
ang.m,ang.m,Temes,2
ang.m,ang.m,Ænglisc_spræc,2
ang.m,ang.m,Elpendbān,2
ang.m,ang.m,Afghanistan,1
ang.m,ang.m,Balmandir,1
ang.m,ang.m,Brūcend:AlleborgoBot,1
ang.m,ang.m,Brūcend:James~angwiki,1
ang.m,ang.m,Brūcend:Lomita,1
ang.m,ang.m,Brūcend:Matthaeus_Adamus_Hungaricus,1
ang.m,ang.m,Bysen:Country_data_Åland_Islands,1
ang.m,ang.m,Bysen:Infobox_Film,1
ang.m,ang.m,CF,1
ang.m,ang.m,Carl_II_Bretta_Cyning,1
ang.m,ang.m,Cīnan_Folclicu_Cynewīse,1
ang.m,ang.m,Eallbærnet,1
ang.m,ang.m,Falster,1
ang.m,ang.m,Faruc_Ægypt_Cyning,1
ang.m,ang.m,Flocc:Byrig_on_Nepale,1
ang.m,ang.m,Gómara,1
ang.m,ang.m,Hlīniende_Torr_Pīsan,1
ang.m,ang.m,Hālig_Land,1
ang.m.d,ang.m.d,Hēafodtramet,3
ang.m.d,ang.m.d,Gēolmōnaþ,2
ang.m.d,ang.m.d,Þrimilcemōnaþ,2
ang.m.d,ang.m.d,manst,1
ang.m.d,ang.m.d,Blōtmōnaþ,1
ang.m.d,ang.m.d,Brūcend:Stvltvs,1
ang.m.d,ang.m.d,Frīgedæg,1
ang.m.d,ang.m.d,Hrēþmōnaþ,1
ang.m.d,ang.m.d,Hāligmōnaþ,1
ang.m.d,ang.m.d,Mōnandæg,1
ang.m.d,ang.m.d,Mǣdmōnaþ,1
ang.m.d,ang.m.d,Port:Bleoh,1
ang.m.d,ang.m.d,Port:Dagas_on_Englisce,1
ang.m.d,ang.m.d,Port:Mōnþas,1
ang.m.d,ang.m.d,Port:Rīmung,1
ang.m.d,ang.m.d,Se_Æfterra_Gēola,1
ang.m.d,ang.m.d,Solmōnaþ,1
ang.m.d,ang.m.d,Sunnandæg,1
ang.m.d,ang.m.d,Sēremōnaþ,1
ang.m.d,ang.m.d,Winterfylleþ,1
ang.m.d,ang.m.d,Wēodmōnaþ,1
ang.m.d,ang.m.d,dēaþ,1
ang.m.d,ang.m.d,fēower,1
ang.m.d,ang.m.d,fīf,1
ang.m.d,ang.m.d,gold,1
ang.q,ang.q,Hēafodsīde,5
ang.q,ang.q,Syndrig:UserLogin,2
ang.q,ang.q,Buffy_sēo_Vampira_Cwellestre,1
ar,ar,الصفحة_الرئيسية,720
ar,ar,خاص:بحث,253
ar,ar,-,95
ar,ar,مستخدم:Mustafa_Al-Elq/وصلاتي,67
ar,ar,لينين_الرملي,41
ar,ar,إنداليسيو_برييتو,40
ar,ar,لي_وينليانغ,34
ar,ar,Special:Search,33
ar,ar,أزمة_الشرق_العظمى,29
ar,ar,سمنة,29
ar,ar,يوتيوب,29
ar,ar,الوطن_العربي,28
ar,ar,الانتخابات_العامة_في_مالاوي_2019,27
ar,ar,الانتخابات_العامة_في_مالاوي_2020,27
ar,ar,المرض_التنفسي_الحاد_المرتبط_بفيروس_كورونا_المستجد,27
ar,ar,بارك_بوم,27
ar,ar,آدا_نيلد_شو,26
ar,ar,أخدرية_صغيرة_الأزهار,26
ar,ar,أخدرية_كبيرة_الثمار,26
ar,ar,أرض_سالم_(رواية),26
ar,ar,أزمة_عبادان,26
ar,ar,أشباه_الديدان,26
ar,ar,أشياء_ضرورية,26
ar,ar,ألبرخت_الثالث_كونت_هابسبورغ,26
ar,ar,أوتو_الثاني_كونت_هابسبورغ,26
ar.b,ar.b,الصفحة_الرئيسية,20
ar.b,ar.b,خاص:بحث,6
ar.b,ar.b,الزمن,2
ar.b,ar.b,اللغة_العربية/ضمائر,2
ar.b,ar.b,لينكس_من_الألف_إلى_الياء,2
ar.b,ar.b,ويكي_الأطفال:الحروف_الأبجدية/طريقة_الكتابة,2
ar.b,ar.b,ويكي_الكتب:ترحيب,2
ar.b,ar.b,إدارة_التغيير_والموارد_البشرية,1
ar.b,ar.b,الجهاز_الهضمي,1
ar.b,ar.b,السبورة_التفاعلية,1
ar.b,ar.b,العبرية/المقدمة/الأبجدية,1
ar.b,ar.b,الفرنسية/قواعد/تكوين_جملة,1
ar.b,ar.b,الكيمياء_العامة/التركيب_الذري/تاريخ_التركيب_الذري,1
ar.b,ar.b,برمجة:بايثون,1
ar.b,ar.b,تصنيف:الصفحة_الرئيسية,1
ar.b,ar.b,تصنيف:وصفات_مختارة,1
ar.b,ar.b,تنميه_مهاره_تدريس_المفاهيم,1
ar.b,ar.b,دفتر_أحوال_المجتمع_المصري,1
ar.b,ar.b,دورة_حياة_المنتج,1
ar.b,ar.b,علم_الاجتماع/النظرية_الاجتماعية,1
ar.b,ar.b,مبادئ_الشبكات_الحاسوبية,1
ar.b,ar.b,مقدمة_في_الشبكات_العصبية_الاصطناعية,1
ar.b,ar.b,موضوعات_الرقص_فى_جداريات_مصرية_قديمة,1
ar.b,ar.b,المفسدون_في_الأرض,1
ar.b,ar.b,تاريخ_البحرين,1
ar.d,ar.d,الصفحة_الرئيسية,6
ar.d,ar.d,أَبْجَد,2
ar.d,ar.d,خاص:بحث,2
ar.d,ar.d,سز,2
ar.d,ar.d,-,1
ar.d,ar.d,Fernseher,1
ar.d,ar.d,Indonesia,1
ar.d,ar.d,booster,1
ar.d,ar.d,card,1
ar.d,ar.d,despair,1
ar.d,ar.d,extant,1
ar.d,ar.d,fighting,1
ar.d,ar.d,grasshopper,1
ar.d,ar.d,nosy,1
ar.d,ar.d,optimism,1
ar.d,ar.d,term,1
ar.d,ar.d,water,1
ar.d,ar.d,z,1
ar.d,ar.d,تركيب,1
ar.d,ar.d,تصنيف:تحويلات,1
ar.d,ar.d,تصنيف:قافية_الميم,1
ar.d,ar.d,حاسوب,1
ar.d,ar.d,ظلمة,1
ar.d,ar.d,فروق:_العفو_والمسامحة_والصفح_والغفران,1
ar.d,ar.d,مُحَمَّد,1
ar.m,ar.m,الصفحة_الرئيسية,2912
ar.m,ar.m,خاص:بحث,900
ar.m,ar.m,-,894
ar.m,ar.m,جواهر_(ممثلة),563
ar.m,ar.m,طيور_الجنة_(قناة),504
ar.m,ar.m,Special:Search,337
ar.m,ar.m,فيروس_كورونا_المرتبط_بمتلازمة_الشرق_الأوسط_التنفسية,257
ar.m,ar.m,لينين_الرملي,256
ar.m,ar.m,أحداث_ستاد_الدفاع_الجوي_2015,222
ar.m,ar.m,نادية_لطفي,221
ar.m,ar.m,أم_البنين,220
ar.m,ar.m,كارمن_سليمان,193
ar.m,ar.m,عبد_المجيد_الفوزان,168
ar.m,ar.m,صلاة_الاستخارة,162
ar.m,ar.m,صفقة_القرن,151
ar.m,ar.m,عثمان_الأول,145
ar.m,ar.m,محمد,137
ar.m,ar.m,فيروس_كورونا,136
ar.m,ar.m,خالد_مقداد,130
ar.m,ar.m,عيد_الحب,123
ar.m,ar.m,السعودية,120
ar.m,ar.m,ختان_الإناث,117
ar.m,ar.m,آكل_النمل_الحرشفي,114
